day_Actual,month_Actual,year_Actual,Actual Price,Actual Harvest Season,day_Predicted,month_Predicted,year_Predicted,Predicted Price,Predicted Harvest Season
5,6,2017,42.86,Unknown,5,6,2017,44.321722863111,Unknown
6,6,2017,42.86,Unknown,6,6,2017,42.784442704380844,Unknown
7,6,2017,42.86,Unknown,7,6,2017,44.085828571428564,Unknown
10,6,2017,33.23760377141533,Unknown,10,6,2017,33.23760377141528,Unknown
11,6,2017,33.23760377141533,Unknown,11,6,2017,33.23760377141528,Unknown
17,6,2017,33.23760377141533,Unknown,17,6,2017,33.23760377141528,Unknown
22,6,2017,42.86,Unknown,22,6,2017,42.698552075428324,Unknown
22,6,2017,42.86,Unknown,22,6,2017,42.698552075428324,Unknown
22,6,2017,42.86,Unknown,22,6,2017,42.698552075428324,Unknown
22,6,2017,42.86,Unknown,22,6,2017,42.698552075428324,Unknown
22,6,2017,42.86,Unknown,22,6,2017,42.698552075428324,Unknown
22,6,2017,42.86,Unknown,22,6,2017,42.698552075428324,Unknown
22,6,2017,49.06,Unknown,22,6,2017,42.698552075428324,Unknown
22,6,2017,49.06,Unknown,22,6,2017,42.698552075428324,Unknown
22,6,2017,49.06,Unknown,22,6,2017,42.698552075428324,Unknown
23,6,2017,49.06,Unknown,23,6,2017,42.86000000000003,Unknown
24,6,2017,33.23760377141533,Unknown,24,6,2017,34.27888577522613,Unknown
24,6,2017,33.23760377141533,Unknown,24,6,2017,34.27888577522613,Unknown
24,6,2017,33.23760377141533,Unknown,24,6,2017,34.27888577522613,Unknown
24,6,2017,33.23760377141533,Unknown,24,6,2017,34.27888577522613,Unknown
26,6,2017,33.23760377141533,Unknown,26,6,2017,33.50238502932031,Unknown
30,6,2017,49.06,Unknown,30,6,2017,42.67022707542833,Unknown
30,6,2017,49.06,Unknown,30,6,2017,42.67022707542833,Unknown
30,6,2017,42.86,Unknown,30,6,2017,42.67022707542833,Unknown
30,6,2017,42.86,Unknown,30,6,2017,42.67022707542833,Unknown
3,7,2017,42.94,Unknown,3,7,2017,43.735937261904766,Unknown
4,7,2017,46.95,Unknown,4,7,2017,42.940000000000026,Unknown
5,7,2017,42.94,Unknown,5,7,2017,42.87900589092026,Unknown
7,7,2017,42.94,Unknown,7,7,2017,43.964013968253965,Unknown
7,7,2017,42.94,Unknown,7,7,2017,43.964013968253965,Unknown
7,7,2017,42.94,Unknown,7,7,2017,43.964013968253965,Unknown
7,7,2017,42.94,Unknown,7,7,2017,43.964013968253965,Unknown
10,7,2017,42.94,Unknown,10,7,2017,43.890604450412575,Unknown
12,7,2017,42.94,Unknown,12,7,2017,42.940000000000026,Unknown
13,7,2017,42.94,Unknown,13,7,2017,44.0959693710475,Unknown
13,7,2017,42.94,Unknown,13,7,2017,44.0959693710475,Unknown
13,7,2017,42.94,Unknown,13,7,2017,44.0959693710475,Unknown
13,7,2017,42.94,Unknown,13,7,2017,44.0959693710475,Unknown
14,7,2017,42.94,Unknown,14,7,2017,43.74626894300145,Unknown
16,7,2017,33.23760377141533,Unknown,16,7,2017,33.33722773370113,Unknown
17,7,2017,42.94,Unknown,17,7,2017,43.60752497822184,Unknown
